iter	Passed	Remaining
407	5181	7517
408	5189	7498
409	5197	7479
410	5205	7460
411	5211	7437
412	5216	7414
413	5225	7395
414	5233	7376
415	5244	7362
416	5250	7340
417	5261	7325
418	5267	7304
419	5281	7292
420	5289	7274
421	5298	7257
422	5305	7237
423	5316	7222
424	5328	7208
425	5335	7189
426	5343	7170
427	5353	7154
428	5363	7139
429	5370	7118
430	5380	7102
431	5386	7082
432	5392	7061
433	5402	7045
434	5407	7023
435	5419	7010
436	5425	6989
437	5443	6985
438	5450	6964
439	5460	6949
440	5473	6938
441	5490	6931
442	5497	6911
443	5506	6895
444	5512	6875
445	5526	6865
446	5532	6844
447	5544	6831
448	5552	6813
449	5560	6795
450	5570	6780
451	5579	6764
452	5589	6749
453	5595	6729
454	5603	6712
455	5611	6694
456	5619	6677
457	5627	6659
458	5639	6646
459	5645	6627
460	5653	6609
461	5662	6594
462	5671	6577
463	5687	6569
464	5693	6550
465	5703	6535
466	5712	6520
467	5726	6509
468	5733	6491
469	5742	6475
470	5750	6458
471	5760	6443
472	5767	6425
473	5774	6407
474	5786	6395
475	5793	6377
476	5802	6362
477	5817	6353
478	5832	6344
479	5841	6328
480	5857	6320
481	5865	6303
482	5875	6288
483	5889	6278
484	5898	6263
485	5909	6249
486	5926	6243
487	5946	6238
488	5952	6219
489	5970	6214
490	5976	6195
491	5998	6193
492	6004	6175
493	6019	6165
494	6026	6148
495	6046	6144
496	6051	6124
497	6067	6116
498	6079	6104
499	6095	6095
500	6120	6096
501	6127	6079
502	6148	6074
503	6157	6059
504	6173	6051
505	6181	6034
506	6186	6016
507	6207	6012
508	6222	6002
509	6230	5985
510	6250	5981
511	6260	5967
512	6281	5962
513	6291	5948
514	6303	5935
515	6324	5932
516	6330	5913
517	6342	5901
518	6347	5882
519	6361	5872
520	6373	5859
521	6385	5847
522	6395	5833
523	6404	5817
524	6413	5802
525	6422	5787
526	6430	5771
527	6442	5758
528	6454	5746
529	6457	5726
530	6466	5711
531	6474	5696
532	6483	5681
533	6491	5664
534	6503	5652
535	6510	5635
536	6519	5620
537	6528	5606
538	6535	5589
539	6547	5577
540	6556	5562
541	6565	5547
542	6574	5533
543	6582	5517
544	6587	5499
545	6598	5486
546	6604	5469
547	6613	5455
548	6623	5441
549	6633	5427
550	6637	5408
551	6648	5396
552	6661	5384
553	6667	5367
554	6675	5352
555	6685	5338
556	6696	5325
557	6704	5310
558	6714	5297
559	6722	5282
560	6731	5267
561	6743	5255
562	6752	5241
563	6762	5227
564	6770	5212
565	6781	5199
566	6792	5187
567	6802	5173
568	6807	5156
569	6816	5142
570	6827	5129
571	6835	5114
572	6841	5098
